RegionType,RegionName,State,CBSA Title,SizeRankCity,SizeRankMetro,PctPriceCut,DaysOnMarket,BuyerSellerIndex,BuyerSellerIndexMetro
Zip,78737,TX,"Austin-Round Rock, TX",8786,35,25.64102564,69,9.649122807,5.814917127
Zip,78739,TX,"Austin-Round Rock, TX",8880,35,23.27586207,46,1.754385965,5.814917127
Zip,78726,TX,"Austin-Round Rock, TX",8939,35,9.836065574,57,1.403508772,5.814917127
Zip,78732,TX,"Austin-Round Rock, TX",8957,35,21.73913043,73,8.070175439,5.814917127
Zip,78645,TX,"Austin-Round Rock, TX",9118,35,16.35514019,88,5.789473684,5.814917127
Zip,78642,TX,"Austin-Round Rock, TX",9207,35,18.78453039,72.5,6.842105263,5.814917127
Zip,78669,TX,"Austin-Round Rock, TX",9622,35,20,69.5,6.315789474,5.814917127
Zip,78957,TX,"Austin-Round Rock, TX",10123,35,17.91044776,66,4.210526316,5.814917127
Zip,78730,TX,"Austin-Round Rock, TX",10210,35,16.66666667,70,4.385964912,5.814917127
Zip,78736,TX,"Austin-Round Rock, TX",10404,35,23.40425532,56.5,5.438596491,5.814917127
Zip,78733,TX,"Austin-Round Rock, TX",10653,35,25.37313433,64,9.122807018,5.814917127
Zip,78619,TX,"Austin-Round Rock, TX",11061,35,32.30769231,96,10,5.814917127
Zip,77642,TX,"Beaumont-Port Arthur, TX",4329,130,11.42857143,59,1.428571429,1.712707182
Zip,77706,TX,"Beaumont-Port Arthur, TX",4887,130,20.20725389,64,9.285714286,1.712707182
Zip,77630,TX,"Beaumont-Port Arthur, TX",5735,130,9.90990991,77,2.142857143,1.712707182
Zip,77705,TX,"Beaumont-Port Arthur, TX",6056,130,14.54545455,86,8.571428571,1.712707182
Zip,77627,TX,"Beaumont-Port Arthur, TX",6674,130,16.47058824,53,5,1.712707182
Zip,77662,TX,"Beaumont-Port Arthur, TX",6904,130,15.30612245,77,7.857142857,1.712707182
Zip,77657,TX,"Beaumont-Port Arthur, TX",7559,130,12.05673759,53,0.714285714,1.712707182
Zip,77632,TX,"Beaumont-Port Arthur, TX",7734,130,19.23076923,88,10,1.712707182
Zip,77656,TX,"Beaumont-Port Arthur, TX",8399,130,14.28571429,80,7.142857143,1.712707182
Zip,77640,TX,"Beaumont-Port Arthur, TX",8445,130,10.44776119,89,6.428571429,1.712707182
Zip,77619,TX,"Beaumont-Port Arthur, TX",8511,130,19.11764706,52,4.285714286,1.712707182
Zip,77707,TX,"Beaumont-Port Arthur, TX",8779,130,15.27777778,55,3.571428571,1.712707182
Zip,77713,TX,"Beaumont-Port Arthur, TX",8926,130,12.72727273,64,2.857142857,1.712707182
Zip,77611,TX,"Beaumont-Port Arthur, TX",10218,130,12.96296296,71,5.714285714,1.712707182
Zip,78414,TX,"Corpus Christi, TX",3630,115,15.03267974,90,7.692307692,7.375690608
Zip,78412,TX,"Corpus Christi, TX",3851,115,16.4021164,83,3.076923077,7.375690608
Zip,78413,TX,"Corpus Christi, TX",4135,115,15.85365854,89,6.923076923,7.375690608
Zip,78418,TX,"Corpus Christi, TX",4554,115,13.14387211,99.5,9.230769231,7.375690608
Zip,78415,TX,"Corpus Christi, TX",4842,115,16.8,77,2.307692308,7.375690608
Zip,78411,TX,"Corpus Christi, TX",6567,115,25,78,8.461538462,7.375690608
Zip,78382,TX,"Corpus Christi, TX",6801,115,10.5,87,0.769230769,7.375690608
Zip,78410,TX,"Corpus Christi, TX",6999,115,17.0984456,79.5,3.846153846,7.375690608
Zip,78374,TX,"Corpus Christi, TX",8177,115,20.37914692,77.5,4.615384615,7.375690608
Zip,78404,TX,"Corpus Christi, TX",8966,115,18.08510638,86,10,7.375690608
Zip,78362,TX,"Corpus Christi, TX",9819,115,9.677419355,89,1.538461538,7.375690608
Zip,78336,TX,"Corpus Christi, TX",9922,115,12.12121212,99,6.153846154,7.375690608
Zip,78373,TX,"Corpus Christi, TX",11082,115,6.738544474,131,5.384615385,7.375690608
Zip,75052,TX,"Dallas-Fort Worth-Arlington, TX",1504,4,19.86970684,46,1.789473684,5
Zip,75287,TX,"Dallas-Fort Worth-Arlington, TX",1609,4,25.97402597,47,5.894736842,5
Zip,75243,TX,"Dallas-Fort Worth-Arlington, TX",1640,4,19.90049751,53,3.736842105,5
Zip,75067,TX,"Dallas-Fort Worth-Arlington, TX",1710,4,21.22641509,44,2.157894737,5
Zip,76028,TX,"Dallas-Fort Worth-Arlington, TX",1856,4,23.39544513,48.5,4.789473684,5
Zip,76063,TX,"Dallas-Fort Worth-Arlington, TX",1876,4,23.07692308,49,4.473684211,5
Zip,75056,TX,"Dallas-Fort Worth-Arlington, TX",1898,4,24.51456311,51,7,5
Zip,75228,TX,"Dallas-Fort Worth-Arlington, TX",1930,4,30.70175439,50,8,5
Zip,76244,TX,"Dallas-Fort Worth-Arlington, TX",1944,4,24.39478585,47,4.947368421,5
Zip,75217,TX,"Dallas-Fort Worth-Arlington, TX",2036,4,11.86440678,64,3.684210526,5
Zip,75206,TX,"Dallas-Fort Worth-Arlington, TX",2063,4,27.27272727,61,9.526315789,5
Zip,75035,TX,"Dallas-Fort Worth-Arlington, TX",2071,4,24.38356164,57,8.368421053,5
Zip,75150,TX,"Dallas-Fort Worth-Arlington, TX",2155,4,14.09395973,48,0.894736842,5
Zip,76116,TX,"Dallas-Fort Worth-Arlington, TX",2226,4,24.09090909,52,6.736842105,5
Zip,75043,TX,"Dallas-Fort Worth-Arlington, TX",2247,4,20.58823529,49,3.157894737,5
Zip,75002,TX,"Dallas-Fort Worth-Arlington, TX",2286,4,26.56587473,50,7.526315789,5
Zip,75211,TX,"Dallas-Fort Worth-Arlington, TX",2357,4,23.71134021,60,8.263157895,5
Zip,76179,TX,"Dallas-Fort Worth-Arlington, TX",2519,4,23.30097087,48,4.052631579,5
Zip,75204,TX,"Dallas-Fort Worth-Arlington, TX",2534,4,20.86330935,83,8.578947368,5
Zip,75070,TX,"Dallas-Fort Worth-Arlington, TX",2546,4,29.48090108,55,9.105263158,5
Zip,75034,TX,"Dallas-Fort Worth-Arlington, TX",2556,4,22.5251076,69,8.684210526,5
Zip,76137,TX,"Dallas-Fort Worth-Arlington, TX",2583,4,22.59136213,45,2.736842105,5
Zip,75098,TX,"Dallas-Fort Worth-Arlington, TX",2615,4,27.15105163,48,7.105263158,5
Zip,76051,TX,"Dallas-Fort Worth-Arlington, TX",2659,4,17.58241758,47,1.315789474,5
Zip,75115,TX,"Dallas-Fort Worth-Arlington, TX",2685,4,23.07692308,55,6.789473684,5
Zip,75093,TX,"Dallas-Fort Worth-Arlington, TX",2706,4,26.71232877,54,8.526315789,5
Zip,75068,TX,"Dallas-Fort Worth-Arlington, TX",2791,4,26.43678161,55,8.842105263,5
Zip,75007,TX,"Dallas-Fort Worth-Arlington, TX",2805,4,26.69683258,43,5,5
Zip,75071,TX,"Dallas-Fort Worth-Arlington, TX",2806,4,28.5046729,60,9.631578947,5
Zip,75231,TX,"Dallas-Fort Worth-Arlington, TX",2824,4,21.05263158,74.5,8.421052632,5
Zip,75040,TX,"Dallas-Fort Worth-Arlington, TX",2834,4,21.78217822,46.5,2.684210526,5
Zip,75149,TX,"Dallas-Fort Worth-Arlington, TX",2870,4,17,48,1.526315789,5
Zip,75061,TX,"Dallas-Fort Worth-Arlington, TX",2883,4,18.91891892,50,2.526315789,5
Zip,75025,TX,"Dallas-Fort Worth-Arlington, TX",2888,4,26.01626016,50,7.368421053,5
Zip,75080,TX,"Dallas-Fort Worth-Arlington, TX",2920,4,23.87387387,47.5,4.368421053,5
Zip,76133,TX,"Dallas-Fort Worth-Arlington, TX",2972,4,18.89400922,44,1.052631579,5
